"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2024","74.67","75.00","75.29","74.31","1.81M","0.91%"
"06/13/2024","74.00","74.00","75.40","74.00","5.33M","0.00%"
"06/12/2024","74.00","73.60","75.49","73.60","1.93M","0.67%"
"06/11/2024","73.51","74.39","74.89","73.31","2.44M","-0.26%"
"06/10/2024","73.70","73.01","74.49","73.00","2.59M","0.93%"
"06/09/2024","73.02","75.13","75.46","73.02","2.21M","-2.81%"
"06/06/2024","75.13","74.90","76.00","74.53","3.15M","-0.70%"
"06/05/2024","75.66","76.12","77.24","75.53","2.59M","-0.58%"
"06/04/2024","76.10","76.99","78.00","76.05","4.57M","-0.55%"
"06/03/2024","76.52","78.00","78.00","76.00","3.28M","-1.48%"
"06/02/2024","77.67","78.00","78.20","77.22","2.28M","-0.68%"
"05/30/2024","78.20","76.56","78.20","73.01","17.25M","2.16%"
"05/29/2024","76.55","76.80","77.48","76.31","1.75M","-0.21%"
"05/28/2024","76.71","76.50","78.20","75.10","3.35M","0.27%"
"05/27/2024","76.50","77.00","77.50","76.35","284.39K","-0.65%"
"05/26/2024","77.00","76.01","77.50","76.01","426.44K","1.32%"
"05/23/2024","76.00","76.55","77.25","76.00","3.49M","-0.64%"
